language,metric_value,source,date
python,58.13,so_survey_usage,2025-01-01
python,45.86,so_survey_desired,2025-01-01
javascript,66.32,so_survey_usage,2025-01-01
javascript,39.07,so_survey_desired,2025-01-01
typescript,43.76,so_survey_usage,2025-01-01
typescript,37.29,so_survey_desired,2025-01-01
java,29.55,so_survey_usage,2025-01-01
java,18.39,so_survey_desired,2025-01-01
c#,27.95,so_survey_usage,2025-01-01
c#,22.59,so_survey_desired,2025-01-01
c++,23.63,so_survey_usage,2025-01-01
c++,19.36,so_survey_desired,2025-01-01
go,16.48,so_survey_usage,2025-01-01
go,27.38,so_survey_desired,2025-01-01
rust,14.92,so_survey_usage,2025-01-01
rust,34.2,so_survey_desired,2025-01-01
php,18.93,so_survey_usage,2025-01-01
php,10.61,so_survey_desired,2025-01-01
ruby,6.46,so_survey_usage,2025-01-01
ruby,5.86,so_survey_desired,2025-01-01
swift,5.43,so_survey_usage,2025-01-01
swift,7.51,so_survey_desired,2025-01-01
kotlin,10.8,so_survey_usage,2025-01-01
kotlin,13.98,so_survey_desired,2025-01-01
r,4.95,so_survey_usage,2025-01-01
r,4.83,so_survey_desired,2025-01-01
scala,2.66,so_survey_usage,2025-01-01
scala,3.41,so_survey_desired,2025-01-01
perl,3.84,so_survey_usage,2025-01-01
perl,2.59,so_survey_desired,2025-01-01
assembly,7.09,so_survey_usage,2025-01-01
assembly,7.95,so_survey_desired,2025-01-01
