language,metric_value,source,date
python,20.97,tiobe_rating,2026-05-08
c,12.34,tiobe_rating,2026-05-08
c++,8.03,tiobe_rating,2026-05-08
java,7.79,tiobe_rating,2026-05-08
c#,5.98,tiobe_rating,2026-05-08
javascript,3.11,tiobe_rating,2026-05-08
r,1.62,tiobe_rating,2026-05-08
perl,1.48,tiobe_rating,2026-05-08
php,1.17,tiobe_rating,2026-05-08
go,1.09,tiobe_rating,2026-05-08
rust,1.09,tiobe_rating,2026-05-08
assembly,1.05,tiobe_rating,2026-05-08
swift,0.92,tiobe_rating,2026-05-08
kotlin,0.0,tiobe_rating,2026-05-08
scala,0.0,tiobe_rating,2026-05-08
typescript,0.0,tiobe_rating,2026-05-08
ruby,0.0,tiobe_rating,2026-05-08
